,Table S11 GO enrichment of cluster 4,,,,,
GO:0036211,protein modification process,14,6310,4.52E-03,biological_process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
GO:0044249,cellular biosynthetic process,12,6198,3.14E-02,biological_process,"The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0045017,glycerolipid biosynthetic process,2,265,1.04E-03,biological_process,"The chemical reactions and pathways resulting in the formation of glycerolipids, any lipid with a glycerol backbone."
GO:0046486,glycerolipid metabolic process,2,442,1.98E-02,biological_process,"The chemical reactions and pathways involving glycerolipids, any lipid with a glycerol backbone. Diacylglycerol and phosphatidate are key lipid intermediates of glycerolipid biosynthesis."
GO:0046474,glycerophospholipid biosynthetic process,2,198,9.37E-05,biological_process,"The chemical reactions and pathways resulting in the formation of glycerophospholipids, any derivative of glycerophosphate that contains at least one O-acyl, O-alkyl, or O-alkenyl group attached to the glycerol residue."
GO:0044255,cellular lipid metabolic process,5,1893,2.93E-02,biological_process,"The chemical reactions and pathways involving lipids, as carried out by individual cells."
GO:0032991,protein-containing complex,15,5496,1.58E-04,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
GO:0090407,organophosphate biosynthetic process,3,784,1.42E-02,biological_process,"The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."
GO:0016758,hexosyltransferase activity,5,946,7.35E-05,molecular_function,Catalysis of the transfer of a hexosyl group from one compound (donor) to another (acceptor).
GO:0140534,endoplasmic reticulum protein-containing complex,1,150,2.61E-02,cellular_component,A protein complex that is part of an endoplasmic reticulum.
GO:1901135,carbohydrate derivative metabolic process,4,1429,3.60E-02,biological_process,The chemical reactions and pathways involving carbohydrate derivative.
GO:1901137,carbohydrate derivative biosynthetic process,3,713,8.19E-03,biological_process,The chemical reactions and pathways resulting in the formation of carbohydrate derivative.
GO:1901576,organic substance biosynthetic process,15,7776,1.73E-02,biological_process,"The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."
GO:1903509,liposaccharide metabolic process,1,148,2.49E-02,biological_process,The chemical reactions and pathways involving liposaccharide.
GO:0098796,membrane protein complex,4,1142,9.57E-03,cellular_component,Any protein complex that is part of a membrane.
GO:0010053,root epidermal cell differentiation,1,67,4.30E-04,biological_process,The process in which a relatively unspecialized cell in the root epidermis acquires the specialized features of a trichoblast or atrichoblast.
GO:0010054,trichoblast differentiation,1,8,1.18E-25,biological_process,"The process in which a relatively unspecialized cell acquires the specialized features of a trichoblast, a root epidermal cell that will give rise to a root hair."
GO:1990234,transferase complex,7,979,9.87E-09,cellular_component,"A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."
GO:1902494,catalytic complex,9,2010,3.56E-06,cellular_component,A protein complex which is capable of catalytic activity.
GO:1901564,organonitrogen compound metabolic process,27,13255,4.65E-04,biological_process,The chemical reactions and pathways involving organonitrogen compound.
GO:0000123,histone acetyltransferase complex,1,91,2.89E-03,cellular_component,A protein complex that possesses histone acetyltransferase activity.
GO:0090627,plant epidermal cell differentiation,1,122,1.17E-02,biological_process,The process in which a relatively unspecialized cell acquires specialized features of a plant epidermal cell.
GO:0048869,cellular developmental process,8,1186,3.95E-09,biological_process,A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition.
GO:0000325,plant-type vacuole,3,714,8.26E-03,cellular_component,"A closed structure that is completely surrounded by a unit membrane, contains liquid, and retains the same shape regardless of cell cycle phase. An example of this structure is found in Arabidopsis thaliana."
GO:0005773,vacuole,3,973,4.24E-02,cellular_component,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
GO:0031248,protein acetyltransferase complex,1,108,6.83E-03,cellular_component,A complex that catalyzes the transfer of an acetyl group to a protein acceptor molecule.
GO:1902493,acetyltransferase complex,1,108,6.83E-03,cellular_component,A protein complex which is capable of acetyltransferase activity.
GO:0035267,NuA4 histone acetyltransferase complex,1,31,1.37E-07,cellular_component,"A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60)."
GO:0030154,cell differentiation,5,927,5.76E-05,biological_process,"The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
GO:0032502,developmental process,25,6098,5.74E-13,biological_process,"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."
GO:0043189,H4/H2A histone acetyltransferase complex,1,31,1.37E-07,cellular_component,A multisubunit complex that catalyzes the acetylation of histones H4 and H2A.
GO:1902562,H4 histone acetyltransferase complex,1,36,1.07E-06,cellular_component,A protein complex which is capable of H4 histone acetyltransferase activity.
GO:0006473,protein acetylation,1,91,2.89E-03,biological_process,"The addition of an acetyl group to a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."
GO:0018393,internal peptidyl-lysine acetylation,1,78,1.18E-03,biological_process,The addition of an acetyl group to a non-terminal lysine residue in a protein.
GO:0016573,histone acetylation,1,78,1.18E-03,biological_process,The modification of a histone by the addition of an acetyl group.
GO:0140535,intracellular protein-containing complex,5,1007,1.51E-04,cellular_component,A protein-containing complex located intracellularly.
GO:0006475,internal protein amino acid acetylation,1,78,1.18E-03,biological_process,The addition of an acetyl group to a non-terminal amino acid in a protein.
GO:0043543,protein acylation,1,125,1.30E-02,biological_process,"The addition of an acyl group, any group or radical of the form RCO- where R is an organic group, to a protein amino acid."
GO:0018394,peptidyl-lysine acetylation,1,78,1.18E-03,biological_process,The acetylation of peptidyl-lysine.
GO:0009416,response to light stimulus,11,2347,1.17E-07,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
GO:0009637,response to blue light,2,190,6.30E-05,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a blue light stimulus. Blue light is electromagnetic radiation with a wavelength of between 440 and 500nm."
GO:0009639,response to red or far red light,4,414,1.25E-07,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red or far red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0007165,signal transduction,10,3142,2.81E-04,biological_process,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
GO:0010817,regulation of hormone levels,4,381,2.76E-08,biological_process,"Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."
GO:0009314,response to radiation,11,2473,3.66E-07,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."
GO:0010600,regulation of auxin biosynthetic process,1,16,1.57E-13,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of auxins, plant hormones that regulate aspects of plant growth."
GO:0032350,regulation of hormone metabolic process,1,28,2.83E-08,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving any hormone."
GO:0010017,red or far-red light signaling pathway,1,42,6.66E-06,biological_process,"The series of molecular signals initiated upon sensing by photoreceptor molecules of red light or far red light. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0071214,cellular response to abiotic stimulus,3,269,5.33E-07,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."
GO:0071478,cellular response to radiation,3,186,6.19E-10,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."
GO:0065008,regulation of biological quality,4,784,4.98E-04,biological_process,"Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."
GO:0071482,cellular response to light stimulus,3,178,2.32E-10,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
GO:0104004,cellular response to environmental stimulus,3,269,5.33E-07,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."
GO:0003676,nucleic acid binding,23,10140,1.76E-04,molecular_function,Binding to a nucleic acid.
GO:0046885,regulation of hormone biosynthetic process,1,21,1.28E-10,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of hormones."
GO:0071489,cellular response to red or far red light,1,47,2.16E-05,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red or far red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0003682,chromatin binding,2,264,1.01E-03,molecular_function,"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
GO:0003677,DNA binding,19,4925,2.81E-09,molecular_function,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0009606,tropism,2,205,1.29E-04,biological_process,"The movement of an organism, or part of an organism, in response to an external source of stimulus, usually toward or away from it."
GO:0090354,regulation of auxin metabolic process,1,22,3.40E-10,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving auxins, plant hormones that regulate aspects of plant growth."
GO:0009645,response to low light intensity stimulus,1,36,1.07E-06,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a low light intensity stimulus. Low light intensity is defined as a level of electromagnetic radiation at or below 0.1 micromols/m2."
GO:0009704,de-etiolation,2,17,1.73E-46,biological_process,The greening response of plants grown in the dark (etiolated) as a result of chloroplast biogenesis and the accumulation of chlorophyll.
GO:0009638,phototropism,1,29,4.95E-08,biological_process,"The movement of an organism, or part of an organism, in response to a light stimulus, usually toward or away from it."
GO:0009642,response to light intensity,5,401,7.28E-12,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus."
GO:0010244,response to low fluence blue light stimulus by blue low-fluence system,1,9,5.74E-23,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of the detection of a low fluence blue light stimulus by the blue low-fluence system. Blue light is electromagnetic radiation with a wavelength of between 440 and 500nm. The blue low-fluence system responds to blue light at or below 0.1 micromols/m2. In certain species excitation of the blue low fluence system induces the transcription of a number of nuclear and plastid coded genes."
GO:0010161,red light signaling pathway,1,10,8.13E-21,biological_process,"The series of molecular signals initiated upon sensing of red light by a photoreceptor molecule. Red light is electromagnetic radiation of wavelength of 580-700nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0010114,response to red light,1,111,7.75E-03,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0010928,regulation of auxin mediated signaling pathway,2,51,3.32E-16,biological_process,"Any process that modulates the rate, frequency or extent of auxin mediated signaling pathway. Auxin mediated signaling pathway is the series of molecular signals generated in response to detection of auxin."
GO:0046983,protein dimerization activity,5,1497,5.98E-03,molecular_function,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
GO:0023051,regulation of signaling,4,519,4.30E-06,biological_process,"Any process that modulates the frequency, rate or extent of a signaling process."
GO:0010646,regulation of cell communication,4,525,5.05E-06,biological_process,"Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:1990841,promoter-specific chromatin binding,1,17,8.20E-13,molecular_function,Binding to a section of chromatin that is associated with gene promoter sequences of DNA.
GO:0048583,regulation of response to stimulus,7,1569,4.19E-05,biological_process,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:0071491,cellular response to red light,1,13,2.44E-16,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
GO:0004722,protein serine/threonine phosphatase activity,2,215,1.98E-04,molecular_function,"Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
GO:0009966,regulation of signal transduction,4,506,3.00E-06,biological_process,"Any process that modulates the frequency, rate or extent of signal transduction."
GO:0004721,phosphoprotein phosphatase activity,2,326,4.03E-03,molecular_function,"Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cellular proteins and thereby provide an important mechanism for regulating cellular activity."
GO:0000164,protein phosphatase type 1 complex,1,6,1.07E-33,cellular_component,"A protein complex that possesses magnesium-dependent protein serine/threonine phosphatase (AMD phosphatase) activity, and consists of a catalytic subunit and one or more regulatory subunits that dictates the phosphatase's substrate specificity, function, and activity."
GO:0008287,protein serine/threonine phosphatase complex,1,75,9.22E-04,cellular_component,"A complex, normally consisting of a catalytic and a regulatory subunit, which catalyzes the removal of a phosphate group from a serine or threonine residue of a protein."
GO:0044877,protein-containing complex binding,3,589,2.32E-03,molecular_function,Binding to a macromolecular complex.
GO:1903293,phosphatase complex,1,75,9.22E-04,cellular_component,A protein complex which is capable of phosphatase activity.
GO:0017018,myosin phosphatase activity,2,124,3.62E-07,molecular_function,Catalysis of the reaction: phosphomyosin + H2O = myosin + phosphate.
GO:0003690,double-stranded DNA binding,11,1557,1.23E-12,molecular_function,Binding to double-stranded DNA.
GO:0001067,transcription regulatory region nucleic acid binding,10,1296,7.03E-13,molecular_function,"Binding to a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."
PO:0020121,lateral root,1,75,9.22E-04,plant_anatomy,A root (PO:0009005) that develops from a lateral root primordium (PO:0000016) that is part of another root on the same plant.
GO:0016602,CCAAT-binding factor complex,1,48,2.65E-05,cellular_component,"A heteromeric transcription factor complex that binds to the CCAAT-box upstream of promoters; functions as both an activator and a repressor, depending on its interacting cofactors. Typically trimeric consisting of NFYA, NFYB and NFYC subunits. In Saccharomyces, it activates the transcription of genes in response to growth in a nonfermentable carbon source and consists of four known subunits: HAP2, HAP3, HAP4 and HAP5."
GO:0043565,sequence-specific DNA binding,12,2032,5.43E-11,molecular_function,"Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
GO:0000976,transcription cis-regulatory region binding,10,1296,7.03E-13,molecular_function,"Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."
GO:0140096,"catalytic activity, acting on a protein",14,6828,1.12E-02,molecular_function,Catalytic activity that acts to modify a protein.
GO:1990837,sequence-specific double-stranded DNA binding,11,1321,2.70E-15,molecular_function,"Binding to double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."
GO:0009611,response to wounding,3,944,3.68E-02,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."
GO:0009791,post-embryonic development,9,996,4.90E-14,biological_process,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."
GO:0009892,negative regulation of metabolic process,11,1274,6.07E-16,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0090575,RNA polymerase II transcription regulator complex,1,168,3.84E-02,cellular_component,A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II.
GO:0009888,tissue development,9,1532,1.42E-08,biological_process,"The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."
GO:0048507,meristem development,3,230,4.06E-08,biological_process,"The process whose specific outcome is the progression of the meristem over time, from its formation to the mature structure."
GO:0048316,seed development,3,399,7.83E-05,biological_process,"The process whose specific outcome is the progression of the seed over time, from its formation to the mature structure. A seed is a propagating organ formed in the sexual reproductive cycle of gymnosperms and angiosperms, consisting of a protective coat enclosing an embryo and food reserves."
GO:0003006,developmental process involved in reproduction,15,2402,2.46E-14,biological_process,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."
GO:0032501,multicellular organismal process,21,2848,4.95E-24,biological_process,"Any biological process, occurring at the level of a multicellular organism, pertinent to its function."
GO:0022414,reproductive process,18,3027,6.64E-16,biological_process,A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
GO:0000151,ubiquitin ligase complex,3,381,4.79E-05,cellular_component,A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.
GO:0048608,reproductive structure development,7,733,5.60E-12,biological_process,"The reproductive developmental process whose specific outcome is the progression of somatic structures that will be used in the process of creating new individuals from one or more parents, from their formation to the mature structures."
GO:0048856,anatomical structure development,20,4330,1.57E-12,biological_process,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0031461,cullin-RING ubiquitin ligase complex,2,288,1.85E-03,cellular_component,Any ubiquitin ligase complex in which the catalytic core consists of a member of the cullin family and a RING domain protein; the core is associated with one or more additional proteins that confer substrate specificity.
GO:0048519,negative regulation of biological process,18,1843,5.25E-29,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0080008,Cul4-RING E3 ubiquitin ligase complex,2,138,1.62E-06,cellular_component,A ubiquitin ligase complex in which a cullin from the Cul4 family and a RING domain protein form the catalytic core; substrate specificity is conferred by an adaptor protein.
GO:0004672,protein kinase activity,8,3386,1.78E-02,molecular_function,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."
GO:0016772,"transferase activity, transferring phosphorus-containing groups",11,4868,9.48E-03,molecular_function,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,1,35,7.41E-07,molecular_function,Catalysis of the reaction: ATP + RNA polymerase II large subunit CTD heptapeptide repeat (consensus YSPTSPS) = ADP + H+ + phosphorylated RNA polymerase II.
GO:0019899,enzyme binding,2,426,1.67E-02,molecular_function,"Binding to an enzyme, a protein with catalytic activity."
GO:0004674,protein serine/threonine kinase activity,5,1036,2.07E-04,molecular_function,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."
GO:0019900,kinase binding,1,145,2.31E-02,molecular_function,"Binding to a kinase, any enzyme that catalyzes the transfer of a phosphate group."
GO:0140994,RNA polymerase II CTD heptapeptide repeat modifying activity,1,55,9.19E-05,molecular_function,A catalytic activity that acts on the RNA polymerase II large subunit CTD heptapeptide repeat (consensus YSPTSPS). Reversible modifications cof the RNA polymerase II CTD repeats contribute to regulation of RNA polymerase activity.
GO:0010558,negative regulation of macromolecule biosynthetic process,5,327,1.33E-14,biological_process,"Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0016301,kinase activity,9,4161,2.60E-02,molecular_function,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
GO:0009890,negative regulation of biosynthetic process,5,399,6.33E-12,biological_process,"Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",8,3834,4.52E-02,molecular_function,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor).
GO:0010605,negative regulation of macromolecule metabolic process,7,930,3.05E-09,biological_process,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,5,318,5.07E-15,biological_process,"Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0031327,negative regulation of cellular biosynthetic process,5,377,1.24E-12,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0031324,negative regulation of cellular metabolic process,6,488,1.08E-13,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0048523,negative regulation of cellular process,8,824,1.07E-13,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0009719,response to endogenous stimulus,14,2431,3.47E-12,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."
GO:1902679,negative regulation of RNA biosynthetic process,5,255,8.81E-19,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."
GO:0009725,response to hormone,14,2393,1.99E-12,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."
GO:0051172,negative regulation of nitrogen compound metabolic process,6,438,2.53E-15,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0045892,negative regulation of DNA-templated transcription,5,255,8.81E-19,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
GO:0031960,response to corticosteroid,1,3,9.04E-66,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a corticosteroid hormone stimulus. A corticosteroid is a steroid hormone that is produced in the adrenal cortex. Corticosteroids are involved in a wide range of physiologic systems such as stress response, immune response and regulation of inflammation, carbohydrate metabolism, protein catabolism, blood electrolyte levels, and behavior. They include glucocorticoids and mineralocorticoids."
