,Table S9 GO enrichment of cluster 2,,,,,
GO:0008233,peptidase activity,6,1437,1.82E-03,molecular_function,Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
GO:1900459,positive regulation of brassinosteroid mediated signaling pathway,1,9,1.58E-19,biological_process,"Any process that activates or increases the frequency, rate or extent of brassinosteroid mediated signaling pathway."
GO:0008483,transaminase activity,2,167,9.74E-05,molecular_function,"Catalysis of the transfer of an amino group to an acceptor, usually a 2-oxo acid."
GO:0009059,macromolecule biosynthetic process,10,3816,1.70E-02,biological_process,"The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0009832,plant-type cell wall biogenesis,2,246,2.06E-03,biological_process,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellulose and pectin-containing cell wall. An example of this is found in Arabidopsis thaliana."
GO:0009834,plant-type secondary cell wall biogenesis,1,86,5.29E-03,biological_process,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of inextensible cellulose- and pectin-containing cell walls that are formed between the plasma membrane and primary cell wall after cell expansion is complete. An example of this is found in Arabidopsis thaliana."
GO:0009888,tissue development,7,1532,2.93E-04,biological_process,"The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."
GO:0016043,cellular component organization,28,3840,6.92E-25,biological_process,"A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO:0071669,plant-type cell wall organization or biogenesis,9,602,4.06E-20,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
GO:0004392,heme oxygenase (decyclizing) activity,1,16,1.41E-11,molecular_function,Catalysis of the reaction: heme b + 3 O2 + 3 reduced [NADPH-hemoprotein reductase] = biliverdin + CO + Fe2+ + H+ + 3 H2O + 3 oxidized [NADPH-hemoprotein reductase].
GO:0007165,signal transduction,10,3142,2.46E-03,biological_process,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
GO:0042440,pigment metabolic process,3,444,1.02E-03,biological_process,"The chemical reactions and pathways involving pigment, any general or particular coloring matter in living organisms, e.g. melanin."
GO:0006788,heme oxidation,1,14,4.81E-13,biological_process,The chemical reactions and pathways resulting in the loss of electrons from one or more atoms in heme.
GO:0007602,phototransduction,1,33,3.11E-06,biological_process,The sequence of reactions within a cell required to convert absorbed photons into a molecular signal.
GO:0009411,response to UV,3,138,3.48E-11,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",1,24,3.90E-08,molecular_function,"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced flavin or flavoprotein and one other donor, and one atom of oxygen is incorporated into one donor."
GO:0009581,detection of external stimulus,1,45,7.31E-05,biological_process,The series of events in which an external stimulus is received by a cell and converted into a molecular signal.
GO:0009582,detection of abiotic stimulus,1,45,7.31E-05,biological_process,The series of events in which an (non-living) abiotic stimulus is received by a cell and converted into a molecular signal.
GO:0009583,detection of light stimulus,1,36,8.29E-06,biological_process,The series of events in which a light stimulus (in the form of photons) is received and converted into a molecular signal.
GO:0009585,"red, far-red light phototransduction",1,33,3.11E-06,biological_process,"The sequence of reactions within a cell required to convert absorbed photons from red or far-red light into a molecular signal; the red, far-red light range is defined as having a wavelength within the range 660-730 nm."
GO:0009812,flavonoid metabolic process,3,168,2.86E-09,biological_process,"The chemical reactions and pathways involving flavonoids, a group of water-soluble phenolic derivatives containing a flavan skeleton including flavones, flavonols and flavanoids, and anthocyanins."
GO:0009813,flavonoid biosynthetic process,2,88,2.44E-08,biological_process,"The chemical reactions and pathways resulting in the formation of flavonoids, a group of phenolic derivatives containing a flavan skeleton."
GO:0010019,chloroplast-nucleus signaling pathway,1,10,1.02E-17,biological_process,"The process in which a molecular signal is transduced between the chloroplast and nucleus, such that expression of nuclear encoding photosynthetic proteins is coupled with chloroplast biogenesis."
GO:0010075,regulation of meristem growth,2,71,3.88E-10,biological_process,Any process involved in maintaining the size and shape of a meristem.
GO:0010119,regulation of stomatal movement,1,115,1.86E-02,biological_process,"Any process that modulates the frequency, rate or extent of stomatal movement."
GO:0010225,response to UV-C,1,15,2.91E-12,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."
GO:0016053,organic acid biosynthetic process,6,1138,1.55E-04,biological_process,"The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."
GO:0010024,phytochromobilin biosynthetic process,1,7,1.08E-24,biological_process,"The chemical reactions and pathways resulting in the formation of phytochromobilin, which involves the oxidative cleavage of heme by a heme oxygenase(HO) to form biliverdin IX alpha."
GO:0016108,tetraterpenoid metabolic process,1,55,3.64E-04,biological_process,"The chemical reactions and pathways involving tetraterpenoid compounds, terpenoids with eight isoprene units."
GO:0016109,tetraterpenoid biosynthetic process,1,43,4.86E-05,biological_process,"The chemical reactions and pathways resulting in the formation of tetraterpenoid compounds, terpenoids with eight isoprene units."
GO:0016116,carotenoid metabolic process,1,55,3.64E-04,biological_process,"The chemical reactions and pathways involving carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail."
GO:0016117,carotenoid biosynthetic process,1,43,4.86E-05,biological_process,"The chemical reactions and pathways resulting in the formation of carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail."
GO:0034644,cellular response to UV,1,17,5.67E-11,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."
GO:0040008,regulation of growth,4,416,2.22E-06,biological_process,"Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."
GO:0042168,heme metabolic process,1,39,1.91E-05,biological_process,"The chemical reactions and pathways involving heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring."
GO:0043436,oxoacid metabolic process,11,3200,5.82E-04,biological_process,"The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."
GO:0044283,small molecule biosynthetic process,6,1600,4.70E-03,biological_process,"The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0046148,pigment biosynthetic process,2,244,1.96E-03,biological_process,"The chemical reactions and pathways resulting in the formation of a pigment, any general or particular coloring matter in living organisms, e.g. melanin."
GO:0019752,carboxylic acid metabolic process,9,2688,2.33E-03,biological_process,"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
GO:0043650,dicarboxylic acid biosynthetic process,1,43,4.86E-05,biological_process,"The chemical reactions and pathways resulting in the formation of dicarboxylic acids, any organic acid containing two carboxyl (-COOH) groups."
GO:0048638,regulation of developmental growth,3,326,5.87E-05,biological_process,"Any process that modulates the frequency, rate or extent of developmental growth."
GO:0051202,phytochromobilin metabolic process,1,7,1.08E-24,biological_process,"The chemical reactions and pathways involving phytochromobilin, the linear tetrapyrrole chromophore required for plant phytochrome photoactivity."
GO:0046394,carboxylic acid biosynthetic process,6,1105,1.09E-04,biological_process,"The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."
GO:0051606,detection of stimulus,1,82,4.17E-03,biological_process,The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal.
GO:0071214,cellular response to abiotic stimulus,2,269,3.63E-03,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."
GO:0050793,regulation of developmental process,14,1673,1.60E-15,biological_process,"Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."
GO:0071494,cellular response to UV-C,1,4,4.69E-42,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."
GO:0104004,cellular response to environmental stimulus,2,269,3.63E-03,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."
GO:0055028,cortical microtubule,1,61,7.47E-04,cellular_component,Arrays of microtubules underlying and connected to the plasma membrane in the cortical cytosol.
GO:0005881,cytoplasmic microtubule,1,72,2.07E-03,cellular_component,Any microtubule in the cytoplasm of a cell.
GO:0099080,supramolecular complex,3,488,2.11E-03,cellular_component,"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."
GO:0009889,regulation of biosynthetic process,12,5220,3.30E-02,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO:0009893,positive regulation of metabolic process,5,1373,1.14E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0010604,positive regulation of macromolecule metabolic process,4,1202,3.64E-02,biological_process,"Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0006355,regulation of DNA-templated transcription,11,4576,2.78E-02,biological_process,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO:0019219,regulation of nucleobase-containing compound metabolic process,15,5254,1.23E-03,biological_process,"Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0010556,regulation of macromolecule biosynthetic process,11,4807,4.22E-02,biological_process,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0042752,regulation of circadian rhythm,5,78,9.00E-52,biological_process,"Any process that modulates the frequency, rate or extent of a circadian rhythm. A circadian rhythm is a biological process in an organism that recurs with a regularity of approximately 24 hours."
GO:2001141,regulation of RNA biosynthetic process,11,4583,2.82E-02,biological_process,"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
GO:0007623,circadian rhythm,4,138,4.68E-19,biological_process,Any biological process in an organism that recurs with a regularity of approximately 24 hours.
GO:0009648,photoperiodism,5,212,5.65E-19,biological_process,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, a period of light or dark of a given length, measured relative to a particular duration known as the 'critical day length'. The critical day length varies between species."
GO:0003700,DNA-binding transcription factor activity,8,2965,2.51E-02,molecular_function,"A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
GO:0031323,regulation of cellular metabolic process,18,5978,1.62E-04,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0010557,positive regulation of macromolecule biosynthetic process,3,769,3.19E-02,biological_process,"Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0032922,circadian regulation of gene expression,2,12,4.23E-55,biological_process,"Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours."
GO:0010628,positive regulation of gene expression,1,83,4.44E-03,biological_process,"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0022414,reproductive process,22,3027,1.04E-19,biological_process,A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
GO:0031325,positive regulation of cellular metabolic process,4,1001,1.26E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0042753,positive regulation of circadian rhythm,1,12,5.40E-15,biological_process,"Any process that activates or increases the frequency, rate or extent of a circadian rhythm behavior."
GO:0051252,regulation of RNA metabolic process,13,4862,5.56E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0043565,sequence-specific DNA binding,6,2032,2.79E-02,molecular_function,"Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
GO:0048511,rhythmic process,4,138,4.68E-19,biological_process,Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism.
GO:0048573,"photoperiodism, flowering",5,136,1.15E-29,biological_process,"A change from the vegetative to the reproductive phase as a result of detection of, or exposure to, a period of light or dark of a given length. The length of the period of light or dark required to initiate the change is set relative to a particular duration known as the 'critical day length'. The critical day length varies between species."
GO:0045893,positive regulation of DNA-templated transcription,3,737,2.58E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."
GO:0031328,positive regulation of cellular biosynthetic process,3,827,4.49E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0140110,transcription regulator activity,9,3231,1.38E-02,molecular_function,"A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."
GO:0009607,response to biotic stimulus,13,2852,1.14E-06,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."
GO:0009617,response to bacterium,7,1395,9.16E-05,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."
GO:1902680,positive regulation of RNA biosynthetic process,3,737,2.58E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."
GO:0043207,response to external biotic stimulus,13,2849,1.11E-06,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
GO:0042742,defense response to bacterium,6,1114,1.20E-04,biological_process,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.
GO:0044419,biological process involved in interspecies interaction between organisms,13,2847,1.09E-06,biological_process,Any process evolved to enable an interaction with an organism of a different species.
GO:0051254,positive regulation of RNA metabolic process,3,824,4.42E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0051707,response to other organism,13,2829,9.56E-07,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
GO:0009505,plant-type cell wall,4,525,4.67E-05,cellular_component,A more or less rigid stucture lying outside the cell membrane of a cell and composed of cellulose and pectin and other organic and inorganic substances.
GO:0005618,cell wall,4,587,1.61E-04,cellular_component,"The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins."
GO:0098542,defense response to other organism,11,2428,8.12E-06,biological_process,Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism.
GO:0030312,external encapsulating structure,4,612,2.46E-04,cellular_component,A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space.
GO:0044183,protein folding chaperone,1,82,4.17E-03,molecular_function,Binding to a protein or a protein-containing complex to assist the protein folding process.
GO:0046685,response to arsenic-containing substance,1,18,1.96E-10,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an arsenic stimulus from compounds containing arsenic, including arsenates, arsenites, and arsenides."
GO:0140657,ATP-dependent activity,7,1497,2.22E-04,molecular_function,"A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."
GO:0140662,ATP-dependent protein folding chaperone,1,53,2.77E-04,molecular_function,"Binding to a protein or a protein-containing complex to assist the protein folding process, driven by ATP hydrolysis."
GO:0042221,response to chemical,25,5178,1.22E-12,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."
GO:0005342,organic acid transmembrane transporter activity,4,191,8.16E-14,molecular_function,Enables the transfer of organic acids from one side of a membrane to the other. Organic acids are acidic compound containing carbon in covalent linkage.
GO:0015171,amino acid transmembrane transporter activity,2,135,1.07E-05,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.
GO:0046943,carboxylic acid transmembrane transporter activity,4,191,8.16E-14,molecular_function,Enables the transfer of carboxylic acids from one side of a membrane to the other. Carboxylic acids are organic acids containing one or more carboxyl (COOH) groups or anions (COO-).
GO:0008514,organic anion transmembrane transporter activity,4,338,7.60E-08,molecular_function,Enables the transfer of organic anions from one side of a membrane to the other. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage.
GO:0006865,amino acid transport,2,97,1.22E-07,biological_process,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0015711,organic anion transport,3,256,3.20E-06,biological_process,"The directed movement of organic anions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage."
GO:0006810,transport,19,5446,5.01E-06,biological_process,"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."
GO:0015849,organic acid transport,3,216,2.65E-07,biological_process,"The directed movement of organic acids, any acidic compound containing carbon in covalent linkage, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0043090,amino acid import,1,3,1.58E-55,biological_process,The directed movement of amino acids into a cell or organelle.
GO:0046942,carboxylic acid transport,3,213,2.12E-07,biological_process,"The directed movement of carboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carboxylic acids are organic acids containing one or more carboxyl (COOH) groups or anions (COO-)."
GO:0051234,establishment of localization,19,5488,5.96E-06,biological_process,"Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
GO:0009620,response to fungus,4,1271,4.87E-02,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus."
GO:0061077,chaperone-mediated protein folding,1,67,1.36E-03,biological_process,The process of inhibiting aggregation and assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure that is dependent on interaction with a chaperone.
GO:0071702,organic substance transport,12,2079,1.47E-08,biological_process,"The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."
GO:0005911,cell-cell junction,5,900,3.00E-04,cellular_component,"A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects."
GO:0071705,nitrogen compound transport,8,1604,3.35E-05,biological_process,"The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0006914,autophagy,1,70,1.76E-03,biological_process,The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation.
GO:0009409,response to cold,6,665,3.35E-08,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
GO:0009506,plasmodesma,5,900,3.00E-04,cellular_component,"A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell."
GO:0010228,vegetative to reproductive phase transition of meristem,4,294,5.20E-09,biological_process,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
GO:0003006,developmental process involved in reproduction,19,2402,3.82E-19,biological_process,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."
GO:0010506,regulation of autophagy,1,22,9.17E-09,biological_process,"Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."
GO:0009896,positive regulation of catabolic process,1,111,1.62E-02,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances."
GO:0030054,cell junction,5,900,3.00E-04,cellular_component,"A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."
GO:0012502,induction of programmed cell death,1,2,1.95E-82,biological_process,A process which directly activates any of the steps required for programmed cell death.
GO:0010508,positive regulation of autophagy,1,9,1.58E-19,biological_process,"Any process that activates, maintains or increases the rate of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."
GO:0043067,regulation of programmed cell death,2,92,5.18E-08,biological_process,"Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
GO:0043068,positive regulation of programmed cell death,1,30,9.61E-07,biological_process,"Any process that activates or increases the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
GO:0051087,protein-folding chaperone binding,1,86,5.29E-03,molecular_function,"Binding to a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport."
GO:0031329,regulation of cellular catabolic process,1,89,6.24E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."
GO:0061919,process utilizing autophagic mechanism,1,70,1.76E-03,biological_process,"A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."
GO:0031331,positive regulation of cellular catabolic process,1,46,8.84E-05,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."
GO:0070161,anchoring junction,5,900,3.00E-04,cellular_component,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix.
GO:0016049,cell growth,11,680,2.23E-26,biological_process,The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present.
GO:0060560,developmental growth involved in morphogenesis,10,551,2.51E-27,biological_process,The increase in size or mass of an anatomical structure that contributes to the structure attaining its shape.
GO:0000902,cell morphogenesis,11,618,2.93E-29,biological_process,The developmental process in which the size or shape of a cell is generated and organized.
GO:0000904,cell morphogenesis involved in differentiation,6,320,1.07E-17,biological_process,"The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history."
GO:0005200,structural constituent of cytoskeleton,1,57,4.70E-04,molecular_function,The action of a molecule that contributes to the structural integrity of a cytoskeletal structure.
GO:0009642,response to light intensity,2,401,2.79E-02,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus."
GO:0009719,response to endogenous stimulus,16,2431,5.72E-13,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."
GO:0009644,response to high light intensity,2,65,5.40E-11,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a high light intensity stimulus."
GO:0009725,response to hormone,14,2393,6.54E-10,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."
GO:0009735,response to cytokinin,1,78,3.22E-03,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokinin stimulus."
GO:0009826,unidimensional cell growth,7,442,4.83E-17,biological_process,"The process in which a cell irreversibly increases in size in one [spatial] dimension or along one axis, resulting in the morphogenesis of the cell."
GO:0009932,cell tip growth,4,209,1.23E-12,biological_process,Growth that occurs specifically at the tip of a cell.
GO:0010053,root epidermal cell differentiation,2,67,1.08E-10,biological_process,The process in which a relatively unspecialized cell in the root epidermis acquires the specialized features of a trichoblast or atrichoblast.
GO:0010033,response to organic substance,21,4472,2.22E-10,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."
GO:0010114,response to red light,1,111,1.62E-02,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs."
