,Table S8. GO enrichment of cluster 1,,,,,
GO:0036294,cellular response to decreased oxygen levels,1,244,1.63E-02,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."
GO:0051716,cellular response to stimulus,5,2846,7.20E-03,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
GO:0043232,intracellular non-membrane-bounded organelle,5,2250,1.03E-03,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."
GO:0140694,non-membrane-bounded organelle assembly,1,110,1.81E-04,biological_process,"The aggregation, arrangement and bonding together of a set of components to form a non-membrane-bounded organelle."
GO:0071456,cellular response to hypoxia,1,242,1.58E-02,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."
GO:0005794,Golgi apparatus,5,1180,2.35E-07,cellular_component,"A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
GO:0010383,cell wall polysaccharide metabolic process,1,257,2.00E-02,biological_process,The chemical reactions and pathways involving cell wall polysaccharides.
GO:0098791,Golgi apparatus subcompartment,4,379,2.85E-15,cellular_component,"A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."
GO:0099080,supramolecular complex,2,488,1.02E-03,cellular_component,"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."
GO:0044036,cell wall macromolecule metabolic process,1,318,4.18E-02,biological_process,"The chemical reactions and pathways involving macromolecules forming, or destined to form, part of the cell wall. A cell wall is a rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
GO:0000030,mannosyltransferase activity,1,64,6.74E-07,molecular_function,"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid."
GO:0070925,organelle assembly,1,145,1.25E-03,biological_process,"The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0005768,endosome,3,387,7.40E-09,cellular_component,A vacuole to which materials ingested by endocytosis are delivered.
GO:0005797,Golgi medial cisterna,2,60,8.49E-25,cellular_component,The middle Golgi cisterna (or cisternae).
GO:0005802,trans-Golgi network,3,298,2.32E-11,cellular_component,"The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."
GO:0010393,galacturonan metabolic process,1,193,5.91E-03,biological_process,"The chemical reactions and pathways involving galacturonan, a pectin polymer containing a backbone of alpha-(1->4)-linked D-galacturonic acid residues."
GO:0031984,organelle subcompartment,4,391,8.27E-15,cellular_component,"A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."
GO:0010412,mannan metabolic process,1,3,1.31E-119,biological_process,"The chemical reactions and pathways involving mannan, a group of polysaccharides containing a backbone composed of a polymer of D-mannose units."
GO:0031982,vesicle,3,772,1.26E-04,cellular_component,"Any small, fluid-filled, spherical organelle enclosed by membrane."
GO:0019187,"beta-1,4-mannosyltransferase activity",1,38,8.74E-11,molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming a beta-(1->4) linkage."
GO:0031985,Golgi cisterna,3,188,1.09E-17,cellular_component,"Any of the thin, flattened membrane-bounded compartments that form the central portion of the Golgi complex."
GO:0045488,pectin metabolic process,1,192,5.76E-03,biological_process,"The chemical reactions and pathways involving pectin, a group of galacturonic acid-containing, water-soluble colloidal carbohydrates of high molecular weight and of net negative charge."
GO:0045489,pectin biosynthetic process,1,67,1.22E-06,biological_process,"The chemical reactions and pathways resulting in the formation of pectin, a polymer containing a backbone of alpha-1,4-linked D-galacturonic acid residues."
GO:0051753,mannan synthase activity,1,33,3.19E-12,molecular_function,Catalysis of the reaction: mannan(n) + GDP-mannose = mannan(n+1) + GDP. This reaction is the formation of the beta-(1->4)-linked mannan backbone in substrates such as galactomannan.
GO:0031410,cytoplasmic vesicle,3,671,2.84E-05,cellular_component,A vesicle found in the cytoplasm of a cell.
GO:0070085,glycosylation,2,268,3.18E-06,biological_process,The covalent attachment and further modification of carbohydrate residues to a substrate molecule.
GO:0052546,cell wall pectin metabolic process,1,33,3.19E-12,biological_process,"The chemical reactions and pathways involving pectin, a polymer containing a backbone of alpha-1,4-linked D-galacturonic acid residues, as part of the organization and biogenesis of the cell wall."
GO:0097502,mannosylation,1,7,2.97E-52,biological_process,The covalent attachment of a mannose residue to a substrate molecule.
GO:0097708,intracellular vesicle,3,673,2.94E-05,cellular_component,Any vesicle that is part of the intracellular region.
GO:0052325,cell wall pectin biosynthetic process,1,20,2.80E-19,biological_process,"The chemical reactions and pathways resulting in the formation of pectin, a polymer containing a backbone of alpha-1,4-linked D-galacturonic acid residues, as part of the organization and biogenesis of the cell wall."
GO:0065007,biological regulation,25,12711,2.00E-11,biological_process,"Any process that modulates a measurable attribute of any biological process, quality or function."
GO:0070592,cell wall polysaccharide biosynthetic process,1,124,4.44E-04,biological_process,The chemical reactions and pathways resulting in the formation of a polysaccharide destined to form part of a cell wall.
GO:0016758,hexosyltransferase activity,2,946,3.75E-02,molecular_function,Catalysis of the transfer of a hexosyl group from one compound (donor) to another (acceptor).
GO:0032502,developmental process,16,6098,3.21E-11,biological_process,"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."
GO:0050789,regulation of biological process,25,12088,2.65E-12,biological_process,"Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0019222,regulation of metabolic process,16,7574,2.23E-08,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0060255,regulation of macromolecule metabolic process,12,6779,3.68E-05,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0006952,defense response,5,2856,7.39E-03,biological_process,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
GO:0009607,response to biotic stimulus,6,2852,6.20E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."
GO:0009605,response to external stimulus,7,3458,3.61E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
GO:0009791,post-embryonic development,5,996,9.21E-09,biological_process,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."
GO:0003006,developmental process involved in reproduction,12,2402,9.49E-19,biological_process,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."
GO:0010468,regulation of gene expression,10,6198,5.70E-04,biological_process,"Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0048856,anatomical structure development,9,4330,3.77E-05,biological_process,"The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0010605,negative regulation of macromolecule metabolic process,5,930,2.11E-09,biological_process,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0031347,regulation of defense response,5,910,1.30E-09,biological_process,"Any process that modulates the frequency, rate or extent of a defense response."
GO:0009908,flower development,3,272,2.13E-12,biological_process,"The process whose specific outcome is the progression of the flower over time, from its formation to the mature structure. The flower is the reproductive structure in a plant, and its development begins with the transition of the vegetative or inflorescence meristem into a floral meristem."
GO:0009892,negative regulation of metabolic process,8,1274,1.19E-16,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0022414,reproductive process,12,3027,2.25E-14,biological_process,A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
GO:0044419,biological process involved in interspecies interaction between organisms,6,2847,6.09E-04,biological_process,Any process evolved to enable an interaction with an organism of a different species.
GO:0048367,shoot system development,3,733,7.43E-05,biological_process,"The process whose specific outcome is the progression of the shoot system over time, from its formation to the mature structure."
GO:0043207,response to external biotic stimulus,6,2849,6.13E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
GO:0032501,multicellular organismal process,9,2848,1.41E-08,biological_process,"Any biological process, occurring at the level of a multicellular organism, pertinent to its function."
GO:0048507,meristem development,1,230,1.29E-02,biological_process,"The process whose specific outcome is the progression of the meristem over time, from its formation to the mature structure."
GO:0048519,negative regulation of biological process,10,1843,2.17E-17,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0048583,regulation of response to stimulus,5,1569,1.84E-05,biological_process,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:0048608,reproductive structure development,3,733,7.43E-05,biological_process,"The reproductive developmental process whose specific outcome is the progression of somatic structures that will be used in the process of creating new individuals from one or more parents, from their formation to the mature structures."
GO:0048827,phyllome development,2,399,2.09E-04,biological_process,"The process whose specific outcome is the progression of a phyllome over time, from its formation to the mature structure. A phyllome is a collective term for all the different types of leaves appearing on plants."
GO:0048731,system development,3,758,1.05E-04,biological_process,"The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."
GO:0051707,response to other organism,6,2829,5.70E-04,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
GO:0080134,regulation of response to stress,5,1053,2.83E-08,biological_process,"Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0090567,reproductive shoot system development,3,310,6.11E-11,biological_process,"The process whose specific outcome is the progression of a reproductive shoot system over time, from its formation to the mature structure."
GO:0099402,plant organ development,5,1104,7.02E-08,biological_process,"Development of a plant organ, a multi-tissue plant structure that forms a functional unit."
GO:0098542,defense response to other organism,5,2428,2.03E-03,biological_process,Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism.
GO:0080090,regulation of primary metabolic process,15,6120,1.11E-09,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0031056,regulation of histone modification,1,56,1.03E-07,biological_process,"Any process that modulates the frequency, rate or extent of the covalent alteration of a histone."
GO:0051171,regulation of nitrogen compound metabolic process,13,5970,2.59E-07,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0051246,regulation of protein metabolic process,3,524,1.19E-06,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."
GO:0031399,regulation of protein modification process,2,270,3.49E-06,biological_process,"Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
GO:0008094,"ATP-dependent activity, acting on DNA",3,275,2.87E-12,molecular_function,"Catalytic activity that acts to modify DNA, driven by ATP hydrolysis."
GO:0050794,regulation of cellular process,19,9588,6.49E-09,biological_process,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0009893,positive regulation of metabolic process,4,1373,2.94E-04,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0031060,regulation of histone methylation,1,23,6.00E-17,biological_process,"Any process that modulates the frequency, rate or extent of the covalent addition of methyl groups to histones."
GO:0010604,positive regulation of macromolecule metabolic process,4,1202,7.28E-05,biological_process,"Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0040029,epigenetic regulation of gene expression,1,213,9.29E-03,biological_process,"A process that modulates the frequency, rate or extent of gene expression through chromatin remodeling either by modifying higher order chromatin fiber structure, nucleosomal histones, or cytosine methylation of DNA. Once established, this regulation may be maintained over many cell divisions. It can also be heritable in the absence of the instigating signal."
GO:0031062,positive regulation of histone methylation,1,11,7.77E-34,biological_process,"Any process that activates or increases the frequency, rate or extent of the covalent addition of methyl groups to histones."
GO:0031401,positive regulation of protein modification process,1,53,4.39E-08,biological_process,"Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
GO:0048518,positive regulation of biological process,7,1888,2.33E-08,biological_process,"Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO:0051247,positive regulation of protein metabolic process,2,147,1.09E-10,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."
GO:0051173,positive regulation of nitrogen compound metabolic process,3,1113,2.72E-03,biological_process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0000786,nucleosome,1,107,1.45E-04,cellular_component,"A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures."
GO:0140097,"catalytic activity, acting on DNA",4,562,2.39E-10,molecular_function,Catalytic activity that acts to modify DNA.
GO:0140657,ATP-dependent activity,3,1497,1.69E-02,molecular_function,"A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."
GO:0051570,regulation of histone H3-K9 methylation,1,6,1.10E-60,biological_process,"Any process that modulates the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 9 of histone H3."
GO:0051574,positive regulation of histone H3-K9 methylation,1,3,1.31E-119,biological_process,"Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 9 of histone H3."
GO:0004386,helicase activity,1,280,2.73E-02,molecular_function,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
GO:0003678,DNA helicase activity,1,97,6.28E-05,molecular_function,"Unwinding of a DNA helix, driven by ATP hydrolysis."
GO:0006349,regulation of gene expression by genomic imprinting,1,14,6.50E-27,biological_process,"An epigenetic mechanism of regulation of gene expression in which epigenetic modifications (imprints) are established during gametogenesis. For a given gene to show parentally biased expression, the imprint are established exclusively in one of the two parental genomes, thus generating an asymmetry between the maternal and paternal alleles."
GO:0009294,DNA-mediated transformation,3,28,1.45E-114,biological_process,The direct uptake and incorporation of exogenous genetic material (DNA or RNA) into a cell from its surroundings through the cell envelope.
GO:0009292,horizontal gene transfer,3,28,1.45E-114,biological_process,"The introduction of genetic information into a cell to create a genetically different individual, without production of new individuals."
GO:0019219,regulation of nucleobase-containing compound metabolic process,9,5254,5.24E-04,biological_process,"Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0006346,DNA methylation-dependent heterochromatin formation,1,46,3.96E-09,biological_process,"Repression of transcription by methylation of DNA, leading to the formation of heterochromatin."
GO:0031400,negative regulation of protein modification process,1,34,6.68E-12,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
GO:0032196,transposition,1,4,3.70E-90,biological_process,"Any process involved in mediating the movement of discrete segments of DNA between nonhomologous sites. For elements that are transcribed as the first step of transposition, the process starts with the transcription of the transposable element, its translation and maturation, and ending with integration into DNA. For elements that are cut out, the process starts with the excision of the donor DNA and integrated into another site."
GO:0032197,retrotransposition,1,1,0.00E+00,biological_process,A type of transposition in which a transposable element (transposon) copies and pastes itself into a different genomic location by transcription and convertsion of the transcribed RNA back into DNA through reverse transcription.
GO:0031507,heterochromatin formation,1,68,1.47E-06,biological_process,"An epigenetic gene silencing mechanism in which chromatin is compacted into heterochromatin, resulting in a chromatin conformation refractory to transcription. This process starts with heterochromatin nucleation, its spreading, and ends with heterochromatin boundary formation."
GO:0032993,protein-DNA complex,1,247,1.71E-02,cellular_component,A macromolecular complex containing both protein and DNA molecules.
GO:0031323,regulation of cellular metabolic process,13,5978,2.67E-07,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0044030,regulation of DNA methylation,1,25,1.05E-15,biological_process,"Any process that modulates the frequency, rate or extent of the covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine."
GO:0035065,regulation of histone acetylation,1,14,6.50E-27,biological_process,"Any process that modulates the frequency, rate or extent of the addition of an acetyl group to a histone protein."
GO:0045814,"negative regulation of gene expression, epigenetic",1,109,1.68E-04,biological_process,"An epigenetic process that silences gene expression at specific genomic regions through chromatin remodeling either by modifying higher order chromatin fiber structure, nucleosomal histones, or the cytosine DNA methylation."
GO:0035067,negative regulation of histone acetylation,1,3,1.31E-119,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of an acetyl group to a histone protein."
GO:0070828,heterochromatin organization,1,72,2.93E-06,biological_process,"Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic heterochromatin, a compact and highly condensed form of chromatin."
GO:0051052,regulation of DNA metabolic process,1,154,1.79E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."
GO:0090239,regulation of histone H4 acetylation,1,1,0.00E+00,biological_process,"Any process that modulates the rate, frequency, or extent of histone H4 acetylation, the modification of histone H4 by the addition of an acetyl group."
GO:0051248,negative regulation of protein metabolic process,1,101,8.95E-05,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."
GO:0051172,negative regulation of nitrogen compound metabolic process,4,438,3.08E-13,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."
GO:0090241,negative regulation of histone H4 acetylation,1,1,0.00E+00,biological_process,"Any process that decreases the rate, frequency, or extent of histone H4 acetylation, the modification of histone H4 by the addition of an acetyl group."
GO:0140658,ATP-dependent chromatin remodeler activity,2,46,5.20E-32,molecular_function,"An activity, driven by ATP hydrolysis, that modulates the contacts between histones and DNA, resulting in a change in chromosome architecture within the nucleosomal array, leading to chromatin remodeling."
GO:1901983,regulation of protein acetylation,1,14,6.50E-27,biological_process,"Any process that modulates the frequency, rate or extent of protein acetylation."
GO:0140718,facultative heterochromatin formation,1,48,8.45E-09,biological_process,"The compaction of chromatin into a conformation that is refactory to transcription but that be converted to euchromatin and allow transcription in specific contexts. These can be temporal (e.g., developmental states or specific cell-cycle stages), spatial (e.g., nuclear localization changes from the center to the periphery or vice versa due to exogenous factors/signals), or parental/heritable (e.g., monoallelic gene expression)."
GO:1901984,negative regulation of protein acetylation,1,3,1.31E-119,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of protein acetylation."
GO:0044283,small molecule biosynthetic process,3,1600,2.40E-02,biological_process,"The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0000118,histone deacetylase complex,1,87,2.27E-05,cellular_component,A protein complex that possesses histone deacetylase activity.
GO:0016053,organic acid biosynthetic process,3,1138,3.17E-03,biological_process,"The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."
GO:2000756,regulation of peptidyl-lysine acetylation,1,14,6.50E-27,biological_process,"Any process that modulates the frequency, rate or extent of peptidyl-lysine acetylation."
GO:2000757,negative regulation of peptidyl-lysine acetylation,1,3,1.31E-119,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of peptidyl-lysine acetylation."
GO:0009889,regulation of biosynthetic process,9,5220,4.84E-04,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."
GO:0010556,regulation of macromolecule biosynthetic process,7,4807,9.06E-03,biological_process,"Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0006355,regulation of DNA-templated transcription,6,4576,3.11E-02,biological_process,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
GO:2001141,regulation of RNA biosynthetic process,6,4583,3.14E-02,biological_process,"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
GO:0002833,positive regulation of response to biotic stimulus,3,110,8.97E-30,biological_process,"Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus."
GO:0051252,regulation of RNA metabolic process,7,4862,9.94E-03,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0031326,regulation of cellular biosynthetic process,9,5037,3.09E-04,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0005516,calmodulin binding,1,222,1.11E-02,molecular_function,"Binding to calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states."
GO:0140513,nuclear protein-containing complex,3,1309,7.85E-03,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."
GO:0009890,negative regulation of biosynthetic process,4,399,1.62E-14,biological_process,"Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."
GO:0003700,DNA-binding transcription factor activity,6,2965,9.21E-04,molecular_function,"A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
GO:0002831,regulation of response to biotic stimulus,4,238,3.47E-24,biological_process,"Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."
GO:0010558,negative regulation of macromolecule biosynthetic process,2,327,3.14E-05,biological_process,"Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0031349,positive regulation of defense response,3,124,1.72E-26,biological_process,"Any process that activates or increases the frequency, rate or extent of a defense response."
GO:0032101,regulation of response to external stimulus,4,254,1.11E-22,biological_process,"Any process that modulates the frequency, rate or extent of a response to an external stimulus."
GO:0031324,negative regulation of cellular metabolic process,5,488,4.21E-18,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0045892,negative regulation of DNA-templated transcription,2,255,1.67E-06,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
GO:0031327,negative regulation of cellular biosynthetic process,4,377,2.37E-15,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0032103,positive regulation of response to external stimulus,3,114,9.39E-29,biological_process,"Any process that activates, maintains or increases the rate of a response to an external stimulus."
GO:0140110,transcription regulator activity,6,3231,2.10E-03,molecular_function,"A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."
GO:0051253,negative regulation of RNA metabolic process,2,272,3.83E-06,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."
GO:0048584,positive regulation of response to stimulus,3,294,1.65E-11,biological_process,"Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
GO:1900426,positive regulation of defense response to bacterium,1,31,6.32E-13,biological_process,"Any process that activates or increases the frequency, rate or extent of defense response to bacterium."
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,2,318,2.33E-05,biological_process,"Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:1900424,regulation of defense response to bacterium,2,59,3.36E-25,biological_process,"Any process that modulates the frequency, rate or extent of defense response to bacterium."
GO:0031090,organelle membrane,5,1563,1.75E-05,cellular_component,A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle.
GO:0048523,negative regulation of cellular process,6,824,4.86E-15,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0071470,cellular response to osmotic stress,1,51,2.36E-08,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."
GO:0062197,cellular response to chemical stress,1,112,2.08E-04,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."
GO:1902679,negative regulation of RNA biosynthetic process,2,255,1.67E-06,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."
GO:0005789,endoplasmic reticulum membrane,1,303,3.57E-02,cellular_component,The lipid bilayer surrounding the endoplasmic reticulum.
GO:0071214,cellular response to abiotic stimulus,2,269,3.33E-06,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."
GO:0104004,cellular response to environmental stimulus,2,269,3.33E-06,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."
GO:0006396,RNA processing,3,1615,2.51E-02,biological_process,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.
GO:0016604,nuclear body,1,119,3.30E-04,cellular_component,Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.
